Id,Suburb,Value,Date,NumberOfBedrooms,Type
1,Millers Point,2250,04/03/2023,4,house
2,Lower Portland,1917,06/05/2023,4,house
3,Petersham,783,02/10/2023,3,house
4,Guildford West,1440,24/09/2023,4,unit
5,Oatlands,1178,28/10/2024,1,unit
6,North Strathfield,1282,30/06/2023,3,house
7,Chullora,1729,15/11/2023,3,house
8,Bligh Park,1687,15/09/2023,4,house
9,Potts Point,2104,09/04/2024,3,house
10,Lavender Bay,1281,29/04/2024,1,unit
11,Newtown,1124,09/04/2024,1,unit
12,Kingsford,910,22/02/2023,4,unit
13,Caddens,659,19/04/2023,1,unit
14,Concord,814,24/02/2023,2,unit
15,Box Hill,1345,28/10/2024,4,house
16,Woolloomooloo,1563,25/06/2023,4,house
17,Hebersham,1335,31/01/2023,2,house
18,Clareville,954,30/03/2023,5,unit
19,Lilyfield,1114,06/07/2024,2,house
20,Norwest,990,23/10/2024,2,unit
21,Wahroonga,856,05/03/2023,4,house
22,Dundas Valley,1354,16/08/2024,1,unit
23,Heathcote,1133,05/02/2024,5,unit
24,Cabramatta West,942,04/10/2024,2,house
25,Dundas Valley,820,14/07/2024,2,unit
26,Balmain,1033,31/08/2023,3,house
27,Clemton Park,831,09/04/2024,3,house
28,Chatswood West,1339,04/04/2023,3,house
29,Agnes Banks,1192,28/11/2023,2,house
30,Woolwich,1182,02/02/2023,1,unit
31,Schofields,1160,31/01/2023,4,unit
32,Galston,1210,09/12/2023,4,house
33,Killara,1125,06/04/2023,1,unit
34,Zetland,745,31/07/2023,3,unit
35,Panania,951,26/04/2024,2,unit
36,Wakeley,1225,08/07/2024,5,unit
37,Kellyville,1276,24/04/2024,2,house
38,Panania,2065,14/08/2024,1,house
39,Leppington,1428,21/06/2024,5,house
40,Cattai,1174,14/05/2023,4,house
41,Chatswood West,1477,26/06/2023,2,unit
42,Tennyson Point,1026,01/01/2024,2,unit
43,Bungarribee,2127,09/09/2023,4,house
44,Glenmore Park,2038,26/08/2024,2,house
45,Pemulwuy,1416,22/05/2023,2,unit
46,Linley Point,2160,26/07/2023,2,house
47,Richmond,1819,29/07/2024,4,house
48,Airds,1329,24/02/2024,5,unit
49,Taren Point,1129,20/03/2023,3,house
50,Warrawee,930,06/03/2024,4,unit
51,Westmead,887,08/06/2024,2,unit
52,Newtown,833,01/07/2024,4,unit
53,Cheltenham,614,27/03/2023,5,unit
54,Lower Portland,856,14/05/2024,4,unit
55,Henley,1272,19/09/2023,3,unit
56,Haberfield,1151,02/06/2023,5,unit
57,Bonnet Bay,1321,21/06/2023,3,house
58,Elderslie,969,28/12/2023,2,house
59,Kyeemagh,1660,12/08/2024,4,house
60,Potts Point,836,03/09/2023,2,unit
61,Glenmore Park,1481,28/08/2023,2,unit
62,Fiddletown,1776,27/05/2023,4,house
63,Mona Vale,1136,19/07/2024,3,unit
64,Ashbury,1923,22/10/2023,2,house
65,Harrington Park,1779,12/11/2023,2,house
66,South Turramurra,1959,11/04/2024,1,house
67,Bow Bowing,1252,23/05/2023,2,house
68,Parramatta,920,24/05/2024,1,unit
69,Longueville,559,29/09/2023,4,unit
70,Middleton Grange,1498,09/02/2023,5,house
71,Forestville,921,18/03/2024,3,unit
72,St Helens Park,1017,30/08/2023,4,house
73,Denistone West,1357,27/08/2023,3,house
74,Woronora Heights,1251,26/11/2023,4,house
75,Liverpool,858,18/04/2023,3,house
76,Wedderburn,2148,07/07/2023,1,house
77,Camperdown,1325,26/11/2023,2,unit
78,Pleasure Point,1337,08/06/2023,2,unit
79,Claymore,548,19/01/2023,4,unit
80,Cremorne Point,1984,11/08/2024,4,house
81,Rose Bay,1150,12/03/2024,4,unit
82,Rushcutters Bay,1183,28/01/2023,4,house
83,Sutherland,838,11/12/2023,4,unit
84,Bradbury,1102,03/03/2023,4,house
85,Regents Park,1125,14/01/2023,5,house
86,Henley,511,06/10/2023,3,unit
87,Girraween,822,21/04/2023,4,house
88,Kareela,733,11/01/2024,4,unit
89,Prospect,2044,17/07/2023,4,house
90,Waverton,873,27/02/2023,5,unit
91,Little Bay,1771,22/11/2023,3,house
92,Blairmount,1284,07/06/2024,4,house
93,Kirribilli,2002,17/11/2023,4,house
94,Mortdale,1399,15/01/2023,3,house
95,Belfield,1000,05/02/2023,2,house
96,Sylvania Waters,1497,27/12/2023,1,unit
97,Phillip Bay,1094,03/02/2023,4,unit
98,Camperdown,762,18/12/2023,5,unit
99,Maianbar,816,08/04/2024,3,unit
100,Beaumont Hills,1414,06/09/2024,3,unit
101,Alexandria,971,02/10/2024,3,unit
102,Woronora,1230,06/09/2024,4,house
103,Casula,1186,12/07/2024,4,house
104,Cremorne Point,1462,03/02/2023,5,house
105,Cabramatta West,1653,16/12/2023,4,house
106,Roselands,1277,15/11/2023,2,unit
107,Strathfield South,1369,16/06/2023,2,house
108,Hebersham,1126,12/01/2024,4,unit
109,Balmain,660,15/02/2023,1,unit
110,Eastgardens,624,28/11/2023,3,unit
111,Denistone,2175,21/08/2023,4,house
112,West Pymble,834,07/11/2023,1,unit
113,Doonside,891,23/12/2023,4,house
114,Turrella,1139,26/01/2023,3,unit
115,Badgerys Creek,595,07/12/2023,1,unit
116,Seaforth,1489,08/04/2024,2,house
117,Mulgoa,2074,29/11/2023,5,house
118,Curl Curl,598,05/05/2023,3,unit
119,Beacon Hill,1123,24/07/2023,3,house
120,Petersham,2191,19/04/2023,4,house
121,Lansvale,1071,19/06/2024,2,house
122,Bungarribee,2154,25/01/2024,2,house
123,North Wahroonga,942,22/12/2023,2,house
124,Kirribilli,697,10/07/2023,3,unit
125,Dangar Island,894,21/06/2023,3,unit
126,Granville,1377,17/03/2023,4,house
127,Ku-ring-gai Chase,1872,08/10/2024,2,house
128,Narrabeen,509,05/01/2023,3,unit
129,Pitt Town,1780,17/10/2024,2,house
130,Dangar Island,813,29/03/2023,5,unit
131,Galston,871,01/03/2024,3,house
132,Wahroonga,1491,14/11/2023,3,unit
133,North Balgowlah,2230,28/12/2023,4,house
134,Spring Farm,1165,24/11/2023,1,unit
135,Waverley,1944,08/06/2024,2,house
136,Pagewood,2224,15/04/2023,2,house
137,Revesby,879,15/06/2024,3,unit
138,Blackett,1105,19/12/2023,3,unit
139,Oakhurst,1158,23/02/2023,5,unit
140,Taren Point,563,28/02/2024,5,unit
141,Morning Bay,2235,26/02/2023,3,house
142,Rockdale,892,07/02/2024,1,house
143,Newtown,530,01/01/2023,4,unit
144,Mount Vernon,1036,06/02/2024,1,house
145,Petersham,550,17/08/2023,4,unit
146,Eschol Park,2133,11/10/2023,2,house
147,Meadowbank,556,27/09/2023,4,unit
148,Narellan,936,03/03/2024,3,unit
149,Prairiewood,1968,03/07/2023,3,house
150,Barangaroo,1337,07/03/2023,4,unit
151,Carlingford,1457,19/06/2023,4,unit
152,Macquarie Links,1533,03/07/2024,3,house
153,Riverview,1309,12/06/2023,4,house
154,Lilli Pilli,1165,20/06/2024,1,house
155,Cremorne,676,23/02/2024,3,unit
156,Marsfield,862,14/08/2024,5,house
157,Chifley,826,06/02/2024,3,house
158,Eveleigh,545,19/09/2023,2,unit
159,Acacia Gardens,873,25/09/2023,2,house
160,Enfield,988,04/08/2024,3,house
161,Lane Cove North,1387,27/08/2024,3,unit
162,Eastern Creek,1405,20/06/2023,2,house
163,Chatswood,609,26/07/2023,2,unit
164,Sackville North,1579,17/02/2023,4,house
165,Cherrybrook,797,08/03/2024,4,unit
166,Seven Hills,560,05/09/2024,3,unit
167,Drummoyne,1437,23/01/2024,5,house
168,Lugarno,796,07/05/2023,5,unit
169,Melrose Park,792,14/07/2024,4,unit
170,Brookvale,1398,25/10/2024,4,unit
